SMILES
CCNC(=O)c1ccc2c(c1)[nH]c(=O)n2C3CCN(CC3)C[C@H](c4ccc(cc4)Cl)O
CCNC(=O)c1ccc2c(c1)[nH]c(=O)n2C3CCN(CC3)CC4(CCCCC4)O
CCNC(=O)c1ccc2c(c1)nc(n2C3CCN(CC3)CC4(CCCCC4)O)C
CCNC(=O)c1ccc2c(c1)nc(n2[C@H]3CCN(C[C@@H]3C)CC4(CCCCC4)O)C
CCNC(=O)c1ccc2c(c1)nc(n2[C@H]3CCN(C[C@@H]3C)CC4(CCCCC4)O)C(F)F
CCNC(=O)c1ccc2c(c1)nc(n2[C@H]3CCN(C[C@@H]3C)CC4(CCCCC4)O)c5cccn(c5=O)C
CCNC(=O)c1ccc2c(c(nn2c1)C)C3CCN(CC3)CC4(CCCCC4)O
CCNC(=O)c1ccc2c(c(nn2c1)c3cccn(c3=O)C)C4CCN(CC4)CC5(CCCCC5)O
CCNC(=O)c1cn2nc(c(c2cc1)C3CCN(CC3)C[C@]4([C@H]5C[C@H]6C[C@@H]4C[C@@H](C5)C6)O)C
CCNC(=O)c1ccc2c(c(nn2c1)C)[C@H]3CCN(C[C@@H]3C)CC4(CCCCC4)O
CCNC(=O)c1ccc2c(c(nn2c1)C)[C@H]3CCN(C[C@@H]3C)CC4(CCOCC4)O
Cc1c(c2ccc(cn2n1)C(=O)NCC3CC3)[C@H]4CCN(C[C@@H]4C)CC5(CCOCC5)O
Cc1c(c2ccc(cn2n1)C(=O)NCC3CC3)[C@H]4CCN(C[C@@H]4C)CC5(CCOCC5)OC
